,Продуктовая корзина,Стоимость кв метра квартиры,Численность населения,Площадь города,Численность врачей (кроме зубных),Доходы бюджета на горожанина,Количество преступников,Количество преступлений,Число выбывших,Число прибывших,Кол-во транспортных средств на 1000 жителей,Очередь в детские сады,Количество школ,Количество прибыльных организаций,Средняя зарплата,Количество браков,Количество разводов,"Процент населения, занимающегося спортом",Число спортивных школ,Количество музеев
Москва,4269,249172,12.198,2561.49,68419,123004.11,37151,174990,116152,224993,276,3013,1529,3378,55485,96590,45682,23.01,95,87
Санкт-Петербург,4324,104251,5.192,1403.13,33200,80463.42,23150,55110,120419,194511,318.4,8208,690,2055,36848,54840,26663,22.65,77,52
Новосибирск,3921,59602,1.567,502.66,10274,25716.98,8772,31472,31210,52910,292.5,54208,221,700,33040,13998,8790,19.39,31,11
Екатеринбург,3868,76402,1.462,1142.89,4201,25582.08,7453,22625,35150,46950,312.61,42792,171,571,37267,12550,6841,18.47,40,12
Нижний Новгород,3298,68371,1.277,410.68,7890,18187.32,6327,24004,18479,25399,269.8,37016,157,403,31937,10551,5412,19.61,43,9
Казань,3210,64841,1.206,614.16,7143,18457.51,5746,18712,17017,26861,250.1,44624,181,485,29555,10387,4298,27.66,38,8
Челябинск,3616,44681,1.182,500.91,7433,25713.52,8191,26275,20068,31670,309.1,32455,117,361,29297,9988,5282,24.28,55,3
Омск,3131,47995,1.174,566.86,8338,11911.35,7542,16662,23190,27201,257.1,47306,159,337,28064,10671,6412,25.82,36,8
Самара,3625,65749,1.171,541.98,7876,18665.06,6766,20952,16412,20193,285,32524,165,413,29461,10028,5178,17.54,21,6
Ростов-на-Дону,3287,61162,1.115,348.5,8137,23398.13,4821,19632,19506,26207,289.3,26321,106,568,26688,8818,4430,26.08,23,5
Уфа,3357,67162,1.116,707.93,8801,21363.6,5417,14262,20879,22486,245,25715,131,443,32293,10945,5493,23.26,48,6
Красноярск,4125,58517,1.053,353.9,6543,28322.68,7644,24977,22697,38159,274,45684,126,458,35875,9945,4300,21.8,37,7
Пермь,3516,52462,1.036,801.4,6464,22977.7,7042,21581,19348,30039,258.5,37423,135,425,32801.1,8623,4922,16.84,31,3
Воронеж,3216,49952,1.024,596.51,8073,13366.01,3301,15324,22366,35097,283.7,28319,117,23,26977,8246,5333,24.38,53,4
Волгоград,3236,49227,1.017,859.353,6954,15384.89,5747,14164,13586,14964,234,23666,158,312,26351,7577,4552,24.12,1192,8
Саратов,2955,44572,0.842097,381.97,6999,14027.69,3815,11775,17625,20965,280.3,22081,91,299,26095,6521,4093,26.21,16,6
Краснодар,3660,49447,0.917855,841.36,8201,27709.76,5533,14135,686,1000,289.5,45479,113,413,34401,8000,4640,30.97,50,3
Архангельск,4267,61668,0.358054,294.45,3307,22774.35,2952,7891,8916,8182,249.9,11194,53,95,35754,2863,1747,17.5,7,5
Тюмень,4011,62357,0.697037,698.37,5172,37603.66,4985,19985,25128,43117,295,24695,91,321,41411,6177,3518,27.67,17,1
Вологда,3884,43786,0.319408,115.73,1773,21601.18,2577,7180,5927,7077,290.1,10054,44,111,29117,2575,1428,17.11,8,5